Commodity
Abnormal Load
Acid
Ammonia
Asbestos
Ash
Balast / Gravel
Caboose
Cathodes
Chemical Solutions
Chemicals
Chrome
Clinker
Clinker (Lafarge)
Clinker (PPC-HRE)
Coach Passenger
Coal
Coal Duff
Cobalt
Cobalt Concentrates
Coke
Container Empty
Container Loaded
Copper Anode
Copper Blister
Copper Cathodes
Copper Concentrate
Copper Scrap
Cotton
Damaged Wagon
Dead Loco
Derailed Wagon
Diesel
Empty
Fertiliser
General
Granite
Light Loco
Limestone
Limestone (PPC-HRE)
Luxury Train
Maize
Manganese
Peas
Petrol
Quarry
Rails
Rice
Salt 
Sand
Scrap Metal
Sleepers
Soya Beans
Spares
Steel
Sugar
Sulphur
Sulphuric Acid
Tarpulines
Timber
Water
Wheat
Wheels
Zinc
